,feature,scores,pvalues,support
3145,ICD_Dx_E878,11.433907752137161,0.0007280075170850892,True
3161,ICD_Dx_E893,18.89704896615116,1.4136227546542393e-05,True
3185,ICD_Dx_F0631,18.89704896615118,1.4136227546542393e-05,True
3189,ICD_Dx_F1010,14.812477827659054,0.00012058215837124249,True
3196,ICD_Dx_F11129,18.897048966151026,1.4136227546542393e-05,True
3267,ICD_Dx_F39,14.194620443825997,0.0001671908353502227,True
3274,ICD_Dx_F418,9.626015747172591,0.00193165156859014,True
3275,ICD_Dx_F419,9.490937142351505,0.0020787876475549675,True
3285,ICD_Dx_F439,17.684769590246155,2.663552805871789e-05,True
3296,ICD_Dx_F5102,18.897048966151193,1.4136227546542393e-05,True
3301,ICD_Dx_F59,18.89704896615116,1.4136227546542393e-05,True
3359,ICD_Dx_G320,18.897048966151093,1.4136227546542393e-05,True
3369,ICD_Dx_G40909,8.930110358363905,0.002821955903341099,True
3382,ICD_Dx_G44221,18.897048966150965,1.4136227546542393e-05,True
3410,ICD_Dx_G508,18.89704896615112,1.4136227546542393e-05,True
3437,ICD_Dx_G5711,18.89704896615117,1.4136227546542393e-05,True
3444,ICD_Dx_G600,18.897048966151118,1.4136227546542393e-05,True
3452,ICD_Dx_G63,18.897048966151093,1.4136227546542393e-05,True
3458,ICD_Dx_G723,18.897048966150972,1.4136227546542393e-05,True
3459,ICD_Dx_G7281,42.3225990828917,8.684541390767079e-11,True
3460,ICD_Dx_G729,23.915981088554776,1.0454729875276248e-06,True
3477,ICD_Dx_G8918,72.30023644337314,2.5669505463720262e-17,True
3480,ICD_Dx_G8929,18.122886898652535,2.1180102340044998e-05,True
3490,ICD_Dx_G92,15.578203624757831,8.050810679437552e-05,True
3491,ICD_Dx_G930,18.897048966151107,1.4136227546542393e-05,True
3494,ICD_Dx_G9340,42.57465723287708,7.64470730354104e-11,True
3499,ICD_Dx_G9381,18.897048966151107,1.4136227546542393e-05,True
3543,ICD_Dx_H1010,18.897048966151093,1.4136227546542393e-05,True
3546,ICD_Dx_H109,18.897048966151125,1.4136227546542393e-05,True
3577,ICD_Dx_H259,18.89704896615119,1.4136227546542393e-05,True
3591,ICD_Dx_H3530,29.413011931891422,6.190508203534421e-08,True
3605,ICD_Dx_H3552,18.897048966151193,1.4136227546542393e-05,True
3661,ICD_Dx_H8101,18.897048966151075,1.4136227546542393e-05,True
3670,ICD_Dx_H9042,18.89704896615116,1.4136227546542393e-05,True
3678,ICD_Dx_H9209,18.897048966150976,1.4136227546542393e-05,True
3690,ICD_Dx_I10,29.464302105718975,6.02998078924914e-08,True
3708,ICD_Dx_I201,18.897048966151157,1.4136227546542393e-05,True
3711,ICD_Dx_I2109,18.897048966151157,1.4136227546542393e-05,True
3715,ICD_Dx_I213,20.185180365839962,7.2260950149606955e-06,True
3722,ICD_Dx_I248,10.018595047705098,0.0015611959070811283,True
3729,ICD_Dx_I252,9.636525036286855,0.0019206568660209917,True
3743,ICD_Dx_I2782,37.98119742701657,7.84180325061407e-10,True
3753,ICD_Dx_I340,11.277836229119446,0.0007916403991505011,True
3758,ICD_Dx_I351,12.348246440244907,0.0004462409608989509,True
3771,ICD_Dx_I428,15.571357445366479,8.07990223699309e-05,True
3772,ICD_Dx_I429,11.154631778659224,0.0008458238495820724,True
3773,ICD_Dx_I43,18.897048966151118,1.4136227546542393e-05,True
3804,ICD_Dx_I4940,18.89704896615115,1.4136227546542393e-05,True
3820,ICD_Dx_I5043,12.79653209878926,0.0003513337305944411,True
3821,ICD_Dx_I509,13.610015026200296,0.00022794418414291725,True
3825,ICD_Dx_I5181,23.915981088555927,1.0454729875270992e-06,True
3829,ICD_Dx_I618,18.897048966151118,1.4136227546542393e-05,True
3966,ICD_Dx_I776,20.303329519858536,6.79542955757606e-06,True
3977,ICD_Dx_I791,18.897048966151104,1.4136227546542393e-05,True
3982,ICD_Dx_I81,9.779725213306621,0.001777012513324879,True
4015,ICD_Dx_I82512,18.89704896615104,1.4136227546542393e-05,True
4069,ICD_Dx_I8501,18.89704896615118,1.4136227546542393e-05,True
4090,ICD_Dx_I953,18.897048966151093,1.4136227546542393e-05,True
4091,ICD_Dx_I9581,10.225523189129868,0.001395796715057608,True
4093,ICD_Dx_I959,35.219138950200495,3.193439617314468e-09,True
4097,ICD_Dx_I97121,18.89704896615115,1.4136227546542393e-05,True
4105,ICD_Dx_I9752,18.897048966151093,1.4136227546542393e-05,True
4113,ICD_Dx_I97711,18.89704896615097,1.4136227546542393e-05,True
4141,ICD_Dx_J150,23.915981088555668,1.0454729875270992e-06,True
4147,ICD_Dx_J156,18.897048966151157,1.4136227546542393e-05,True
4151,ICD_Dx_J181,18.897048966151157,1.4136227546542393e-05,True
4166,ICD_Dx_J322,18.897048966151043,1.4136227546542393e-05,True
4176,ICD_Dx_J3802,18.89704896615116,1.4136227546542393e-05,True
4188,ICD_Dx_J449,13.712050632571506,0.00021592809377568993,True
4190,ICD_Dx_J4521,18.897048966150965,1.4136227546542393e-05,True
4198,ICD_Dx_J45909,25.36148974911545,4.960574636884597e-07,True
4206,ICD_Dx_J80,17.604282794411944,2.7781757582487327e-05,True
4215,ICD_Dx_J90,55.64112369835759,1.0588543412727303e-13,True
4233,ICD_Dx_J9600,29.855765557638254,4.934599970241712e-08,True
4234,ICD_Dx_J9601,43.39510393761127,5.0483693272197735e-11,True
4236,ICD_Dx_J9610,16.946016398370958,3.922589233056917e-05,True
4238,ICD_Dx_J9612,18.897048966151182,1.4136227546542393e-05,True
4239,ICD_Dx_J9620,18.89704896615103,1.4136227546542393e-05,True
4242,ICD_Dx_J9690,36.78475451856846,1.4401076975724296e-09,True
4243,ICD_Dx_J9691,30.589206285561716,3.390321307974101e-08,True
4247,ICD_Dx_J9811,41.31686281703267,1.4449308402420628e-10,True
4280,ICD_Dx_K219,30.076875604853047,4.406502423054936e-08,True
4285,ICD_Dx_K223,18.897048966151036,1.4136227546542393e-05,True
4363,ICD_Dx_K439,14.849235548519472,0.00011826328466360011,True
4374,ICD_Dx_K50014,18.89704896615114,1.4136227546542393e-05,True
4376,ICD_Dx_K50019,18.89704896615103,1.4136227546542393e-05,True
4382,ICD_Dx_K50119,18.89704896615114,1.4136227546542393e-05,True
4386,ICD_Dx_K50814,30.324908617617325,3.881199843464741e-08,True
4413,ICD_Dx_K51912,18.897048966151065,1.4136227546542393e-05,True
4418,ICD_Dx_K523,18.897048966151104,1.4136227546542393e-05,True
4420,ICD_Dx_K5289,10.225523189129659,0.0013957967150579156,True
4421,ICD_Dx_K529,31.483496257603857,2.1461951458439624e-08,True
4427,ICD_Dx_K55029,16.94601639837064,3.922589233056917e-05,True
4442,ICD_Dx_K561,31.096952540434007,2.6150134037740038e-08,True
4443,ICD_Dx_K562,23.31809966339567,1.4238456117896194e-06,True
4447,ICD_Dx_K565,11.918509343005095,0.0005614928989908956,True
4448,ICD_Dx_K5660,19.34351267790205,1.1200134416561596e-05,True
4449,ICD_Dx_K5669,18.8046629614517,1.4834403270482827e-05,True
4450,ICD_Dx_K567,76.70174485549774,2.8752204477294662e-18,True
4477,ICD_Dx_K598,10.873521591576607,0.0009839264454084055,True
4479,ICD_Dx_K600,18.897048966151104,1.4136227546542393e-05,True
4490,ICD_Dx_K621,17.68476959024557,2.6635528058722005e-05,True
4498,ICD_Dx_K630,9.634561570085028,0.001922706190797021,True
4499,ICD_Dx_K631,40.26995339848748,2.4557310066000634e-10,True
4500,ICD_Dx_K632,43.56023355942596,4.644015728603815e-11,True
4503,ICD_Dx_K635,10.437793318788334,0.0012445265623034227,True
4504,ICD_Dx_K6389,23.737518016833533,1.146412692269503e-06,True
4510,ICD_Dx_K648,20.18518036584099,7.226095014957295e-06,True
4511,ICD_Dx_K649,12.199677090256653,0.000483101563364839,True
4512,ICD_Dx_K650,20.185180365841052,7.226095014957295e-06,True
4513,ICD_Dx_K651,584.320077382157,1.0985197262292204e-120,True
4515,ICD_Dx_K654,25.706427614043193,4.153167063672509e-07,True
4516,ICD_Dx_K658,21.33343483012045,3.9795461806677245e-06,True
4517,ICD_Dx_K659,18.928144535730063,1.3908738027437413e-05,True
4518,ICD_Dx_K660,27.505569003204986,1.6466582843691657e-07,True
4520,ICD_Dx_K668,22.22262483269867,2.509783121046354e-06,True
4522,ICD_Dx_K6811,41.28196546643969,1.4706925995408693e-10,True
4524,ICD_Dx_K6819,12.796532098789761,0.00035133373059434566,True
4527,ICD_Dx_K7011,18.89704896615118,1.4136227546542393e-05,True
4529,ICD_Dx_K7031,26.821672347031964,2.3399430756796537e-07,True
4530,ICD_Dx_K7040,18.89704896615118,1.4136227546542393e-05,True
4537,ICD_Dx_K7290,16.78084789755974,4.277684458484295e-05,True
4544,ICD_Dx_K750,76.62593517581448,2.9856019688523567e-18,True
