number_of_features,algorithm,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
10,xgb,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 1}",0.8189090575724238,824.0,0.3066781060432558,817.0,0.8605878939437502,780.0,0.968406985032074,0.9674008193910926,0.9948981910697506
10,xgb,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.01}",0.8485857474636351,415.0,0.3435414947495801,441.0,0.8766431148721455,368.0,0.9199290211451652,0.9163430307185674,0.9723449930900908
10,xgb,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.05}",0.8270669844762255,748.0,0.3192230279915867,708.0,0.8835526954403934,155.0,0.9659509384651936,0.9648928502748246,0.992297761778816
10,xgb,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.1}",0.8322692824838039,687.0,0.3278854164889783,614.0,0.8768275491563575,363.0,0.9667720955096222,0.9658041918286194,0.9937725048680036
10,xgb,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.5}",0.819410829971886,816.0,0.3056111223563431,825.0,0.8638076466919993,711.0,0.9686787241625088,0.9678605270635771,0.995840449292494
10,xgb,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 1}",0.8144560567167828,861.0,0.2994672524120767,869.0,0.8529652742161922,875.0,0.9684084699453549,0.9675123560808496,0.9955320682775334
10,xgb,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.01}",0.8599804424886933,258.0,0.3593947227338267,290.0,0.870245353587747,545.0,0.8888854240912331,0.8828034698887421,0.9419814598151774
10,xgb,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.05}",0.8604681579269039,252.0,0.3639857254919991,251.0,0.8743926363245471,436.0,0.9270031480161558,0.923413836777626,0.9764167869749828
10,xgb,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.848588803324777,413.0,0.3408213362003538,478.0,0.8696475802910918,566.0,0.9512443573295318,0.9493242723534993,0.9872488116513134
10,xgb,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.5}",0.8332447133602251,669.0,0.31620196371952713,741.0,0.8661142323552571,660.0,0.9675887978142076,0.9667478843739116,0.9947649272027704
10,xgb,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 1}",0.8253300330033003,766.0,0.3161749648597324,743.0,0.8752953048264018,414.0,0.9684025302922308,0.967574767672472,0.99532904889812
10,xgb,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.01}",0.8399309375381984,562.0,0.3238175399968624,665.0,0.8586867608090886,808.0,0.8878014373960561,0.8836728138081144,0.9438026136985644
10,xgb,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.05}",0.8567430631952083,299.0,0.3575407820044739,300.0,0.8695583779502881,569.0,0.9278272748871466,0.9244257484324104,0.977126310883138
10,xgb,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.1}",0.8495831805402763,401.0,0.3505267370086957,367.0,0.8796791399871525,282.0,0.954243882157282,0.9525428366900158,0.9869700848467244
